project_id,task_code,task_name,phase,opt_o,likely_m,pess_p,pred
P07,T_REM,Vulnerability Remediation,REMEDIATE,2.98,5.74,7.96,T_SEC
P07,T_PRE,Pre-Production Validation,PREPROD,4.06,5.4,7.69,T_REM
P07,T_PIL,Pilot Deployment,PILOT,2.15,4.79,7.67,T_PRE
P07,T_ROL,Full Production Rollout,ROLLOUT,2.51,4.74,7.32,T_PIL
P08,T_INIT,Project Initiation,INIT,4.03,6.62,9.34,
P08,T_REQ,Requirements Gathering,REQ,4.51,7.87,11.81,T_INIT
P08,T_DES,Solution Architecture & Design,DESIGN,4.3,7.17,11.03,T_REQ
P08,T_GOV,Security Policy / Governance,GOV,3.96,6.04,8.13,T_DES
P08,T_BA,Core Implementation Stream A,BUILD_A,8.65,13.48,19.96,T_DES;T_GOV
P08,T_BB,Implementation Stream B,BUILD_B,7.1,10.81,16.33,T_DES;T_GOV
P08,T_INT,Systems Integration,INTEGRATE,6.01,8.94,12.26,T_BA;T_BB
P08,T_DOC,Compliance Documentation,DOC,4.17,6.29,8.49,T_GOV
P08,T_UAT,User Acceptance Testing,UAT,5.6,8.52,11.63,T_INT;T_DOC
P08,T_SEC,Security Testing / Penetration Testing,SEC_TEST,4.61,8.88,14.73,T_UAT
P08,T_REM,Vulnerability Remediation,REMEDIATE,4.46,8.28,12.24,T_SEC
P08,T_PRE,Pre-Production Validation,PREPROD,4.42,7.17,10.71,T_REM
P08,T_PIL,Pilot Deployment,PILOT,2.32,6.03,9.9,T_PRE
P08,T_ROL,Full Production Rollout,ROLLOUT,2.43,5.43,9.0,T_PIL
P09,T_INIT,Project Initiation,INIT,5.94,9.55,12.27,
P09,T_REQ,Requirements Gathering,REQ,7.13,11.62,15.34,T_INIT
P09,T_DES,Solution Architecture & Design,DESIGN,7.44,10.34,15.43,T_REQ
P09,T_GOV,Security Policy / Governance,GOV,5.69,9.1,11.78,T_DES
P09,T_BA,Core Implementation Stream A,BUILD_A,13.95,19.02,25.02,T_DES;T_GOV
P09,T_BB,Implementation Stream B,BUILD_B,7.34,13.09,17.75,T_DES;T_GOV
P09,T_BC,Implementation Stream C,BUILD_C,8.55,13.35,16.94,T_DES;T_GOV
P09,T_INT,Systems Integration,INTEGRATE,6.99,10.32,15.24,T_BA;T_BB;T_BC
P09,T_DOC,Compliance Documentation,DOC,6.51,9.34,13.64,T_GOV
P09,T_UAT,User Acceptance Testing,UAT,5.28,9.63,15.0,T_INT;T_DOC
P09,T_SEC,Security Testing / Penetration Testing,SEC_TEST,7.55,12.07,17.64,T_UAT
P09,T_REM,Vulnerability Remediation,REMEDIATE,6.27,9.6,12.91,T_SEC
P09,T_PRE,Pre-Production Validation,PREPROD,5.27,8.82,12.65,T_REM
P09,T_PIL,Pilot Deployment,PILOT,6.72,9.43,13.49,T_PRE
P09,T_ROL,Full Production Rollout,ROLLOUT,4.85,7.44,11.05,T_PIL
P10,T_INIT,Project Initiation,INIT,4.11,4.88,6.15,
P10,T_REQ,Requirements Gathering,REQ,5.12,6.32,7.6,T_INIT
P10,T_DES,Solution Architecture & Design,DESIGN,5.1,5.92,7.3,T_REQ
P10,T_GOV,Security Policy / Governance,GOV,4.18,5.1,6.2,T_DES
P10,T_BA,Core Implementation Stream A,BUILD_A,8.81,10.94,12.49,T_DES;T_GOV
P10,T_INT,Systems Integration,INTEGRATE,5.81,6.91,8.18,T_BA
P10,T_DOC,Compliance Documentation,DOC,4.16,4.91,5.91,T_GOV
P10,T_UAT,User Acceptance Testing,UAT,5.09,6.12,7.39,T_INT;T_DOC
P10,T_SEC,Security Testing / Penetration Testing,SEC_TEST,5.26,7.09,9.08,T_UAT
P10,T_REM,Vulnerability Remediation,REMEDIATE,4.19,6.01,7.75,T_SEC
P10,T_PRE,Pre-Production Validation,PREPROD,3.96,4.82,5.82,T_REM
P10,T_PIL,Pilot Deployment,PILOT,3.51,5.02,6.71,T_PRE
P10,T_ROL,Full Production Rollout,ROLLOUT,3.57,4.97,6.57,T_PIL
P11,T_INIT,Project Initiation,INIT,4.25,7.44,10.43,
P11,T_REQ,Requirements Gathering,REQ,4.66,8.32,11.51,T_INIT
P11,T_DES,Solution Architecture & Design,DESIGN,5.16,8.11,10.64,T_REQ
P11,T_GOV,Security Policy / Governance,GOV,3.22,6.31,8.51,T_DES
P11,T_BA,Core Implementation Stream A,BUILD_A,8.22,13.21,18.01,T_DES;T_GOV
P11,T_BB,Implementation Stream B,BUILD_B,5.87,10.64,14.03,T_DES;T_GOV
P11,T_BC,Implementation Stream C,BUILD_C,5.94,10.3,14.16,T_DES;T_GOV
P11,T_INT,Systems Integration,INTEGRATE,4.7,8.36,11.35,T_BA;T_BB;T_BC
P11,T_DOC,Compliance Documentation,DOC,3.48,6.72,10.6,T_GOV
P11,T_UAT,User Acceptance Testing,UAT,5.78,8.74,12.73,T_INT;T_DOC
P11,T_SEC,Security Testing / Penetration Testing,SEC_TEST,6.02,9.35,13.56,T_UAT
P11,T_REM,Vulnerability Remediation,REMEDIATE,4.67,7.48,11.12,T_SEC
P11,T_PRE,Pre-Production Validation,PREPROD,4.15,6.44,10.03,T_REM
P11,T_PIL,Pilot Deployment,PILOT,4.83,7.58,11.18,T_PRE
P11,T_ROL,Full Production Rollout,ROLLOUT,4.79,6.82,9.43,T_PIL
P12,T_INIT,Project Initiation,INIT,3.97,7.71,13.74,
P12,T_REQ,Requirements Gathering,REQ,4.44,9.04,14.13,T_INIT
P12,T_DES,Solution Architecture & Design,DESIGN,4.13,9.1,14.41,T_REQ
P12,T_GOV,Security Policy / Governance,GOV,3.74,7.6,13.44,T_DES
P12,T_BA,Core Implementation Stream A,BUILD_A,7.75,17.04,27.71,T_DES;T_GOV
P12,T_BB,Implementation Stream B,BUILD_B,8.36,13.96,21.09,T_DES;T_GOV
P12,T_BC,Implementation Stream C,BUILD_C,6.04,11.7,19.88,T_DES;T_GOV
P12,T_INT,Systems Integration,INTEGRATE,4.4,10.74,18.37,T_BA;T_BB;T_BC
P12,T_DOC,Compliance Documentation,DOC,3.15,8.3,13.4,T_GOV
P12,T_UAT,User Acceptance Testing,UAT,5.79,10.65,16.45,T_INT;T_DOC
P12,T_SEC,Security Testing / Penetration Testing,SEC_TEST,5.25,10.85,17.93,T_UAT
P12,T_REM,Vulnerability Remediation,REMEDIATE,4.15,10.78,16.4,T_SEC
P12,T_PRE,Pre-Production Validation,PREPROD,4.26,8.02,11.49,T_REM
P12,T_PIL,Pilot Deployment,PILOT,3.9,9.0,14.14,T_PRE
P12,T_ROL,Full Production Rollout,ROLLOUT,3.94,7.61,12.14,T_PIL
P13,T_INIT,Project Initiation,INIT,4.48,5.81,7.41,
P13,T_REQ,Requirements Gathering,REQ,4.32,5.89,7.41,T_INIT
P13,T_DES,Solution Architecture & Design,DESIGN,4.52,5.91,7.76,T_REQ
P13,T_GOV,Security Policy / Governance,GOV,4.76,5.83,7.33,T_DES
P13,T_BA,Core Implementation Stream A,BUILD_A,8.96,11.16,13.2,T_DES;T_GOV
P13,T_BB,Implementation Stream B,BUILD_B,5.6,7.73,9.81,T_DES;T_GOV
P13,T_INT,Systems Integration,INTEGRATE,6.07,7.58,9.78,T_BA;T_BB
P13,T_DOC,Compliance Documentation,DOC,3.89,5.22,6.22,T_GOV
P13,T_UAT,User Acceptance Testing,UAT,4.84,6.45,8.43,T_INT;T_DOC
P13,T_SEC,Security Testing / Penetration Testing,SEC_TEST,5.55,7.36,9.7,T_UAT
P13,T_REM,Vulnerability Remediation,REMEDIATE,4.06,5.8,8.39,T_SEC
P13,T_PRE,Pre-Production Validation,PREPROD,4.22,5.54,7.14,T_REM
P13,T_PIL,Pilot Deployment,PILOT,3.58,5.57,6.99,T_PRE
P13,T_ROL,Full Production Rollout,ROLLOUT,2.87,4.53,6.66,T_PIL
P14,T_INIT,Project Initiation,INIT,5.0,6.49,8.64,
P14,T_REQ,Requirements Gathering,REQ,4.99,6.98,8.98,T_INIT
P14,T_DES,Solution Architecture & Design,DESIGN,4.31,6.37,7.95,T_REQ
P14,T_GOV,Security Policy / Governance,GOV,4.08,5.56,7.56,T_DES
P14,T_BA,Core Implementation Stream A,BUILD_A,8.97,12.87,15.98,T_DES;T_GOV
P14,T_BB,Implementation Stream B,BUILD_B,7.38,9.52,12.48,T_DES;T_GOV
P14,T_INT,Systems Integration,INTEGRATE,6.41,8.67,11.1,T_BA;T_BB
P14,T_DOC,Compliance Documentation,DOC,4.04,5.93,7.7,T_GOV
P14,T_UAT,User Acceptance Testing,UAT,4.94,6.74,8.32,T_INT;T_DOC
P14,T_SEC,Security Testing / Penetration Testing,SEC_TEST,5.78,7.41,9.65,T_UAT
P14,T_REM,Vulnerability Remediation,REMEDIATE,5.69,7.47,9.49,T_SEC
P14,T_PRE,Pre-Production Validation,PREPROD,4.85,6.62,8.43,T_REM
P14,T_PIL,Pilot Deployment,PILOT,3.93,5.8,7.29,T_PRE
P14,T_ROL,Full Production Rollout,ROLLOUT,3.57,5.27,6.89,T_PIL
P15,T_INIT,Project Initiation,INIT,7.0,9.48,12.63,
P15,T_REQ,Requirements Gathering,REQ,7.5,11.2,14.72,T_INIT
P15,T_DES,Solution Architecture & Design,DESIGN,5.98,9.65,13.35,T_REQ
P15,T_GOV,Security Policy / Governance,GOV,6.14,9.37,12.94,T_DES
P15,T_BA,Core Implementation Stream A,BUILD_A,10.9,16.53,21.16,T_DES;T_GOV
P15,T_BB,Implementation Stream B,BUILD_B,9.27,14.54,19.45,T_DES;T_GOV
P15,T_BC,Implementation Stream C,BUILD_C,9.14,12.18,17.62,T_DES;T_GOV
P15,T_INT,Systems Integration,INTEGRATE,7.72,10.55,13.91,T_BA;T_BB;T_BC
P15,T_DOC,Compliance Documentation,DOC,5.37,8.05,11.13,T_GOV
P15,T_UAT,User Acceptance Testing,UAT,7.55,10.19,12.99,T_INT;T_DOC
P15,T_SEC,Security Testing / Penetration Testing,SEC_TEST,7.34,11.2,17.17,T_UAT
P15,T_REM,Vulnerability Remediation,REMEDIATE,5.92,9.96,14.57,T_SEC
P15,T_PRE,Pre-Production Validation,PREPROD,6.54,8.67,11.01,T_REM
P15,T_PIL,Pilot Deployment,PILOT,6.58,9.46,13.58,T_PRE
P15,T_ROL,Full Production Rollout,ROLLOUT,4.84,7.92,11.46,T_PIL
P16,T_INIT,Project Initiation,INIT,4.49,5.92,7.55,
P16,T_REQ,Requirements Gathering,REQ,5.89,7.45,9.57,T_INIT
P16,T_DES,Solution Architecture & Design,DESIGN,5.04,6.55,8.0,T_REQ
P16,T_GOV,Security Policy / Governance,GOV,3.37,5.3,6.58,T_DES
P16,T_BA,Core Implementation Stream A,BUILD_A,8.14,10.72,13.49,T_DES;T_GOV
P16,T_INT,Systems Integration,INTEGRATE,5.73,7.61,10.06,T_BA
P16,T_DOC,Compliance Documentation,DOC,3.94,5.82,7.09,T_GOV
P16,T_UAT,User Acceptance Testing,UAT,5.29,7.34,9.07,T_INT;T_DOC
P16,T_SEC,Security Testing / Penetration Testing,SEC_TEST,4.45,7.83,10.6,T_UAT
P16,T_REM,Vulnerability Remediation,REMEDIATE,4.79,7.43,10.61,T_SEC
P16,T_PRE,Pre-Production Validation,PREPROD,4.74,6.27,8.42,T_REM
P16,T_PIL,Pilot Deployment,PILOT,2.96,5.51,8.15,T_PRE
P16,T_ROL,Full Production Rollout,ROLLOUT,2.91,4.85,6.85,T_PIL
P17,T_INIT,Project Initiation,INIT,4.23,5.82,7.41,
P17,T_REQ,Requirements Gathering,REQ,5.33,6.71,8.73,T_INIT
P17,T_DES,Solution Architecture & Design,DESIGN,4.71,6.21,8.36,T_REQ
P17,T_GOV,Security Policy / Governance,GOV,4.37,5.44,7.4,T_DES
P17,T_BA,Core Implementation Stream A,BUILD_A,10.02,12.28,16.02,T_DES;T_GOV
P17,T_BB,Implementation Stream B,BUILD_B,8.19,10.4,12.99,T_DES;T_GOV
P17,T_BC,Implementation Stream C,BUILD_C,6.55,8.07,10.3,T_DES;T_GOV
P17,T_INT,Systems Integration,INTEGRATE,5.64,7.53,9.89,T_BA;T_BB;T_BC
P17,T_DOC,Compliance Documentation,DOC,4.04,5.46,6.72,T_GOV
P17,T_UAT,User Acceptance Testing,UAT,6.34,7.79,9.72,T_INT;T_DOC
P17,T_SEC,Security Testing / Penetration Testing,SEC_TEST,6.25,7.94,10.11,T_UAT
P17,T_REM,Vulnerability Remediation,REMEDIATE,5.9,7.58,9.67,T_SEC
P17,T_PRE,Pre-Production Validation,PREPROD,5.31,6.62,8.15,T_REM
P17,T_PIL,Pilot Deployment,PILOT,3.91,5.45,6.98,T_PRE
P17,T_ROL,Full Production Rollout,ROLLOUT,4.33,5.34,7.01,T_PIL
P18,T_INIT,Project Initiation,INIT,8.59,11.27,14.62,
P18,T_REQ,Requirements Gathering,REQ,8.76,13.07,16.87,T_INIT
P18,T_DES,Solution Architecture & Design,DESIGN,7.74,11.49,15.77,T_REQ
P18,T_GOV,Security Policy / Governance,GOV,7.83,11.0,13.6,T_DES
P18,T_BA,Core Implementation Stream A,BUILD_A,15.35,22.5,30.55,T_DES;T_GOV
P18,T_BB,Implementation Stream B,BUILD_B,11.05,15.32,21.58,T_DES;T_GOV
P18,T_BC,Implementation Stream C,BUILD_C,7.96,13.18,17.61,T_DES;T_GOV
P18,T_INT,Systems Integration,INTEGRATE,9.44,14.12,18.28,T_BA;T_BB;T_BC
P18,T_DOC,Compliance Documentation,DOC,6.81,10.03,13.61,T_GOV
P18,T_UAT,User Acceptance Testing,UAT,8.41,12.26,17.43,T_INT;T_DOC
P18,T_SEC,Security Testing / Penetration Testing,SEC_TEST,9.98,13.44,17.56,T_UAT
P18,T_REM,Vulnerability Remediation,REMEDIATE,9.14,12.22,15.49,T_SEC
P18,T_PRE,Pre-Production Validation,PREPROD,7.94,10.79,15.14,T_REM
P18,T_PIL,Pilot Deployment,PILOT,7.35,9.87,13.81,T_PRE
P18,T_ROL,Full Production Rollout,ROLLOUT,7.59,10.08,12.61,T_PIL
P19,T_INIT,Project Initiation,INIT,4.02,4.66,5.66,
P19,T_REQ,Requirements Gathering,REQ,4.32,5.37,6.65,T_INIT
P19,T_DES,Solution Architecture & Design,DESIGN,4.5,5.55,6.78,T_REQ
P19,T_GOV,Security Policy / Governance,GOV,4.46,5.09,6.09,T_DES
P19,T_BA,Core Implementation Stream A,BUILD_A,7.37,8.97,10.29,T_DES;T_GOV
P19,T_INT,Systems Integration,INTEGRATE,5.42,6.49,7.65,T_BA
P19,T_DOC,Compliance Documentation,DOC,3.66,4.35,5.35,T_GOV
P19,T_UAT,User Acceptance Testing,UAT,5.02,5.99,7.19,T_INT;T_DOC
P19,T_SEC,Security Testing / Penetration Testing,SEC_TEST,4.86,5.82,6.89,T_UAT
P19,T_REM,Vulnerability Remediation,REMEDIATE,4.84,5.89,6.89,T_SEC
P19,T_PRE,Pre-Production Validation,PREPROD,4.43,5.08,6.16,T_REM
P19,T_PIL,Pilot Deployment,PILOT,3.59,4.29,5.34,T_PRE
P19,T_ROL,Full Production Rollout,ROLLOUT,3.25,3.93,4.93,T_PIL
P20,T_INIT,Project Initiation,INIT,4.29,7.11,9.94,
P20,T_REQ,Requirements Gathering,REQ,5.29,9.78,14.74,T_INIT
P20,T_DES,Solution Architecture & Design,DESIGN,4.77,8.27,12.24,T_REQ
P20,T_GOV,Security Policy / Governance,GOV,4.45,7.55,10.31,T_DES
P20,T_BA,Core Implementation Stream A,BUILD_A,6.2,13.86,20.88,T_DES;T_GOV
P20,T_BB,Implementation Stream B,BUILD_B,8.73,13.07,18.93,T_DES;T_GOV
P20,T_INT,Systems Integration,INTEGRATE,5.48,9.17,12.48,T_BA;T_BB
P20,T_DOC,Compliance Documentation,DOC,3.14,6.92,10.09,T_GOV
P20,T_UAT,User Acceptance Testing,UAT,5.41,9.18,13.18,T_INT;T_DOC
P20,T_SEC,Security Testing / Penetration Testing,SEC_TEST,5.32,9.8,17.27,T_UAT
P20,T_REM,Vulnerability Remediation,REMEDIATE,4.25,9.56,14.8,T_SEC
P20,T_PRE,Pre-Production Validation,PREPROD,3.18,6.97,10.18,T_REM
P20,T_PIL,Pilot Deployment,PILOT,3.1,6.82,12.05,T_PRE
P20,T_ROL,Full Production Rollout,ROLLOUT,2.91,6.91,11.61,T_PIL
P21,T_INIT,Project Initiation,INIT,5.55,8.79,11.64,
P21,T_REQ,Requirements Gathering,REQ,6.56,10.76,14.87,T_INIT
P21,T_DES,Solution Architecture & Design,DESIGN,8.15,11.49,16.07,T_REQ
P21,T_GOV,Security Policy / Governance,GOV,6.02,9.56,13.44,T_DES
P21,T_BA,Core Implementation Stream A,BUILD_A,11.24,19.16,25.8,T_DES;T_GOV
P21,T_BB,Implementation Stream B,BUILD_B,8.72,14.42,21.5,T_DES;T_GOV
P21,T_BC,Implementation Stream C,BUILD_C,7.73,12.25,18.59,T_DES;T_GOV
P21,T_INT,Systems Integration,INTEGRATE,7.92,13.15,18.01,T_BA;T_BB;T_BC
P21,T_DOC,Compliance Documentation,DOC,6.93,9.94,14.59,T_GOV
P21,T_UAT,User Acceptance Testing,UAT,6.87,11.25,15.4,T_INT;T_DOC
P21,T_SEC,Security Testing / Penetration Testing,SEC_TEST,7.97,12.68,17.47,T_UAT
P21,T_REM,Vulnerability Remediation,REMEDIATE,8.68,12.5,17.29,T_SEC
P21,T_PRE,Pre-Production Validation,PREPROD,6.16,9.33,12.86,T_REM
P21,T_PIL,Pilot Deployment,PILOT,6.21,8.91,12.95,T_PRE
P21,T_ROL,Full Production Rollout,ROLLOUT,5.75,8.94,11.29,T_PIL
P22,T_INIT,Project Initiation,INIT,4.33,5.33,6.7,
P22,T_REQ,Requirements Gathering,REQ,6.31,7.47,8.98,T_INIT
P22,T_DES,Solution Architecture & Design,DESIGN,5.11,6.58,8.03,T_REQ
P22,T_GOV,Security Policy / Governance,GOV,4.3,5.47,6.57,T_DES
P22,T_BA,Core Implementation Stream A,BUILD_A,10.47,12.59,15.33,T_DES;T_GOV
P22,T_INT,Systems Integration,INTEGRATE,5.38,6.76,8.73,T_BA
P22,T_DOC,Compliance Documentation,DOC,4.79,5.88,7.43,T_GOV
P22,T_UAT,User Acceptance Testing,UAT,6.16,7.39,8.91,T_INT;T_DOC
P22,T_SEC,Security Testing / Penetration Testing,SEC_TEST,5.93,7.46,8.9,T_UAT
P22,T_REM,Vulnerability Remediation,REMEDIATE,4.97,6.55,8.4,T_SEC
P22,T_PRE,Pre-Production Validation,PREPROD,4.8,6.14,7.56,T_REM
P22,T_PIL,Pilot Deployment,PILOT,4.81,6.05,7.27,T_PRE
P22,T_ROL,Full Production Rollout,ROLLOUT,4.25,5.13,6.34,T_PIL
P23,T_INIT,Project Initiation,INIT,4.7,6.19,8.28,
P23,T_REQ,Requirements Gathering,REQ,7.18,8.79,11.28,T_INIT
P23,T_DES,Solution Architecture & Design,DESIGN,5.29,6.97,9.51,T_REQ
P23,T_GOV,Security Policy / Governance,GOV,5.08,6.44,8.14,T_DES
P23,T_BA,Core Implementation Stream A,BUILD_A,10.23,14.05,18.64,T_DES;T_GOV
P23,T_BB,Implementation Stream B,BUILD_B,7.88,10.03,13.38,T_DES;T_GOV
P23,T_INT,Systems Integration,INTEGRATE,6.07,8.51,11.05,T_BA;T_BB
P23,T_DOC,Compliance Documentation,DOC,4.49,6.33,7.76,T_GOV
P23,T_UAT,User Acceptance Testing,UAT,6.14,8.11,10.24,T_INT;T_DOC
P23,T_SEC,Security Testing / Penetration Testing,SEC_TEST,7.03,9.25,12.25,T_UAT
P23,T_REM,Vulnerability Remediation,REMEDIATE,7.12,9.06,10.67,T_SEC
